latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
29.787292,-81.460978,016,039,1852,5797,2026-07-21,1554,L8,high,D
30.119068,-81.423895,016,039,1976,4572,2026-07-21,1554,L8,high,D
30.11934,-81.423585,016,039,1977,4571,2026-07-21,1554,L8,high,D
30.119069,-81.423584,016,039,1977,4572,2026-07-21,1554,L8,high,D
29.855727,-81.396998,016,039,2059,5545,2026-07-21,1554,L8,high,D
34.10811,-80.77952,016,036,445,5745,2026-07-21,1553,L8,high,D
34.107839,-80.779521,016,036,445,5746,2026-07-21,1553,L8,high,D
34.798329,-80.681935,016,036,737,3193,2026-07-21,1553,L8,low,D
35.535068,-80.3703,016,036,1670,465,2026-07-21,1553,L8,high,D
33.946676,-80.252704,016,036,2069,6334,2026-07-21,1553,L8,high,D
33.946944,-80.252377,016,036,2070,6333,2026-07-21,1553,L8,high,D
33.946674,-80.252379,016,036,2070,6334,2026-07-21,1553,L8,high,D
35.405851,-79.780246,016,036,3459,926,2026-07-21,1553,L8,low,D
34.177638,-79.692411,016,036,3784,5463,2026-07-21,1553,L8,high,D
34.177635,-79.692085,016,036,3785,5463,2026-07-21,1553,L8,high,D
34.177364,-79.692089,016,036,3785,5464,2026-07-21,1553,L8,high,D
34.226184,-79.653555,016,036,3901,5282,2026-07-21,1553,L8,high,D
34.226181,-79.653229,016,036,3902,5282,2026-07-21,1553,L8,high,D
34.22591,-79.653233,016,036,3902,5283,2026-07-21,1553,L8,high,D
34.226177,-79.652903,016,036,3903,5282,2026-07-21,1553,L8,high,D
35.093301,-79.481157,016,036,4382,2069,2026-07-21,1553,L8,low,D
35.354369,-79.361061,016,036,4731,1098,2026-07-21,1553,L8,high,D
35.354099,-79.361067,016,036,4731,1099,2026-07-21,1553,L8,high,D
34.109983,-79.199098,016,036,5304,5690,2026-07-21,1553,L8,medium,D
34.109978,-79.198773,016,036,5305,5690,2026-07-21,1553,L8,high,D
35.252615,-79.150769,016,036,5375,1463,2026-07-21,1553,L8,high,D
35.25288,-79.150433,016,036,5376,1462,2026-07-21,1553,L8,low,D
35.252875,-79.150103,016,036,5377,1462,2026-07-21,1553,L8,high,D
35.25259,-79.149121,016,036,5380,1463,2026-07-21,1553,L8,low,D
35.252855,-79.148785,016,036,5381,1462,2026-07-21,1553,L8,high,D
35.252585,-79.148791,016,036,5381,1463,2026-07-21,1553,L8,high,D
34.984595,-79.134141,016,036,5444,2453,2026-07-21,1553,L8,high,D
34.984325,-79.134147,016,036,5444,2454,2026-07-21,1553,L8,high,D
34.984054,-79.134154,016,036,5444,2455,2026-07-21,1553,L8,low,D
34.98432,-79.133819,016,036,5445,2454,2026-07-21,1553,L8,high,D
34.984049,-79.133825,016,036,5445,2455,2026-07-21,1553,L8,low,D
35.004943,-78.828965,016,036,6371,2359,2026-07-21,1553,L8,high,D
35.004937,-78.828636,016,036,6372,2359,2026-07-21,1553,L8,high,D
35.00412,-78.828329,016,036,6373,2362,2026-07-21,1553,L8,high,D
35.00385,-78.828336,016,036,6373,2363,2026-07-21,1553,L8,high,D
35.004114,-78.828,016,036,6374,2362,2026-07-21,1553,L8,high,D
35.003844,-78.828008,016,036,6374,2363,2026-07-21,1553,L8,high,D
35.035126,-78.792983,016,036,6478,2245,2026-07-21,1553,L8,high,D
35.22333,-78.46064,016,036,7471,1525,2026-07-21,1553,L8,low,D
35.223323,-78.460311,016,036,7472,1525,2026-07-21,1553,L8,high,D
38.410093,-77.939096,016,033,5216,5632,2026-07-21,1552,L8,high,D
38.409823,-77.939108,016,033,5216,5633,2026-07-21,1552,L8,high,D
38.410084,-77.938753,016,033,5217,5632,2026-07-21,1552,L8,high,D
38.409814,-77.938765,016,033,5217,5633,2026-07-21,1552,L8,high,D
38.545565,-77.770576,016,033,5689,5114,2026-07-21,1552,L8,medium,D
38.529283,-77.768208,016,033,5698,5174,2026-07-21,1552,L8,medium,D
38.516723,-77.610877,016,033,6157,5204,2026-07-21,1552,L8,low,D
38.516983,-77.610521,016,033,6158,5203,2026-07-21,1552,L8,low,D
38.516713,-77.610534,016,033,6158,5204,2026-07-21,1552,L8,high,D
35.535068,-80.3703,016,035,500,5775,2026-07-21,1552,L8,high,D
35.660602,-80.278501,016,035,774,5309,2026-07-21,1552,L8,high,D
35.834764,-80.042092,016,035,1481,4659,2026-07-21,1552,L8,low,D
35.657354,-79.947773,016,035,1772,5312,2026-07-21,1552,L8,high,D
35.657084,-79.947776,016,035,1772,5313,2026-07-21,1552,L8,high,D
35.618702,-79.805509,016,035,2203,5450,2026-07-21,1552,L8,high,D
35.405851,-79.780246,016,035,2289,6236,2026-07-21,1552,L8,low,D
36.365613,-79.597241,016,035,2792,2680,2026-07-21,1552,L8,low,D
35.354369,-79.361061,016,035,3561,6408,2026-07-21,1552,L8,high,D
35.354099,-79.361067,016,035,3561,6409,2026-07-21,1552,L8,high,D
35.574188,-79.150688,016,035,4183,5584,2026-07-21,1552,L8,high,D
35.573918,-79.150694,016,035,4183,5585,2026-07-21,1552,L8,low,D
35.574183,-79.150357,016,035,4184,5584,2026-07-21,1552,L8,high,D
35.573913,-79.150363,016,035,4184,5585,2026-07-21,1552,L8,high,D
35.573372,-79.150375,016,035,4184,5587,2026-07-21,1552,L8,high,D
35.573102,-79.150382,016,035,4184,5588,2026-07-21,1552,L8,high,D
35.572831,-79.150388,016,035,4184,5589,2026-07-21,1552,L8,high,D
35.572561,-79.150394,016,035,4184,5590,2026-07-21,1552,L8,high,D
35.57202,-79.150406,016,035,4184,5592,2026-07-21,1552,L8,low,D
35.574178,-79.150026,016,035,4185,5584,2026-07-21,1552,L8,high,D
35.573908,-79.150032,016,035,4185,5585,2026-07-21,1552,L8,high,D
35.573637,-79.150038,016,035,4185,5586,2026-07-21,1552,L8,high,D
35.573367,-79.150044,016,035,4185,5587,2026-07-21,1552,L8,high,D
35.573097,-79.150051,016,035,4185,5588,2026-07-21,1552,L8,high,D
35.572826,-79.150057,016,035,4185,5589,2026-07-21,1552,L8,high,D
35.252615,-79.150769,016,035,4205,6773,2026-07-21,1552,L8,high,D
35.25288,-79.150433,016,035,4206,6772,2026-07-21,1552,L8,low,D
35.252875,-79.150103,016,035,4207,6772,2026-07-21,1552,L8,high,D
35.252855,-79.148785,016,035,4211,6772,2026-07-21,1552,L8,high,D
35.252585,-79.148791,016,035,4211,6773,2026-07-21,1552,L8,high,D
36.3045,-79.073453,016,035,4363,2879,2026-07-21,1552,L8,high,D
36.30423,-79.073459,016,035,4363,2880,2026-07-21,1552,L8,high,D
35.52018,-79.019604,016,035,4583,5776,2026-07-21,1552,L8,high,D
35.519909,-79.019611,016,035,4583,5777,2026-07-21,1552,L8,high,D
35.519639,-79.019618,016,035,4583,5778,2026-07-21,1552,L8,high,D
35.520174,-79.019274,016,035,4584,5776,2026-07-21,1552,L8,high,D
35.519904,-79.01928,016,035,4584,5777,2026-07-21,1552,L8,high,D
35.490673,-78.985277,016,035,4689,5883,2026-07-21,1552,L8,low,D
35.508024,-78.87735,016,035,5014,5812,2026-07-21,1552,L8,low,D
35.507753,-78.877357,016,035,5014,5813,2026-07-21,1552,L8,low,D
35.443124,-78.714811,016,035,5511,6041,2026-07-21,1552,L8,low,D
35.442854,-78.714819,016,035,5511,6042,2026-07-21,1552,L8,high,D
35.443118,-78.714481,016,035,5512,6041,2026-07-21,1552,L8,high,D
35.404687,-78.698721,016,035,5563,6182,2026-07-21,1552,L8,medium,D
35.404417,-78.698729,016,035,5563,6183,2026-07-21,1552,L8,high,D
35.404147,-78.698737,016,035,5563,6184,2026-07-21,1552,L8,high,D
35.404141,-78.698406,016,035,5564,6184,2026-07-21,1552,L8,low,D
35.22333,-78.46064,016,035,6301,6835,2026-07-21,1552,L8,low,D
35.223323,-78.460311,016,035,6302,6835,2026-07-21,1552,L8,high,D
28.478065,-82.304375,016,040,291,5312,2026-07-21,1554,L8,high,D
28.363769,-82.158183,016,040,764,5739,2026-07-21,1554,L8,low,D
29.116885,-82.110404,016,040,946,2959,2026-07-21,1554,L8,high,D
28.689966,-82.069021,016,040,1066,4537,2026-07-21,1554,L8,high,D
28.980089,-82.051359,016,040,1133,3466,2026-07-21,1554,L8,medium,D
29.317971,-81.981897,016,040,1369,2220,2026-07-21,1554,L8,high,D
28.481864,-81.861277,016,040,1737,5311,2026-07-21,1554,L8,low,D
29.316892,-81.490052,016,040,2961,2234,2026-07-21,1554,L8,high,D
29.787563,-81.460979,016,040,3062,496,2026-07-21,1554,L8,high,D
29.787292,-81.460978,016,040,3062,497,2026-07-21,1554,L8,high,D
28.273468,-81.44023,016,040,3108,6088,2026-07-21,1554,L8,high,D
28.273469,-81.439924,016,040,3109,6088,2026-07-21,1554,L8,high,D
28.131053,-81.431093,016,040,3136,6614,2026-07-21,1554,L8,low,D
28.130521,-81.428036,016,040,3146,6616,2026-07-21,1554,L8,high,D
28.13025,-81.428035,016,040,3146,6617,2026-07-21,1554,L8,high,D
28.130793,-81.427732,016,040,3147,6615,2026-07-21,1554,L8,medium,D
28.130522,-81.427731,016,040,3147,6616,2026-07-21,1554,L8,high,D
28.130251,-81.42773,016,040,3147,6617,2026-07-21,1554,L8,high,D
28.12998,-81.427729,016,040,3147,6618,2026-07-21,1554,L8,medium,D
28.130523,-81.427425,016,040,3148,6616,2026-07-21,1554,L8,medium,D
28.130252,-81.427424,016,040,3148,6617,2026-07-21,1554,L8,high,D
28.129981,-81.427423,016,040,3148,6618,2026-07-21,1554,L8,high,D
29.021625,-81.360187,016,040,3378,3326,2026-07-21,1554,L8,high,D
28.200913,-81.337834,016,040,3442,6357,2026-07-21,1554,L8,high,D
28.200913,-81.337528,016,040,3443,6357,2026-07-21,1554,L8,high,D
29.137167,-81.074688,016,040,4305,2901,2026-07-21,1554,L8,high,D
29.136896,-81.074688,016,040,4305,2902,2026-07-21,1554,L8,high,D
29.136625,-81.074688,016,040,4305,2903,2026-07-21,1554,L8,high,D
29.136355,-81.074688,016,040,4305,2904,2026-07-21,1554,L8,high,D
29.137167,-81.07438,016,040,4306,2901,2026-07-21,1554,L8,high,D
29.136896,-81.07438,016,040,4306,2902,2026-07-21,1554,L8,high,D
29.136626,-81.074379,016,040,4306,2903,2026-07-21,1554,L8,high,D
29.136355,-81.074379,016,040,4306,2904,2026-07-21,1554,L8,medium,D
